YoutubeLink,Song,Band
https://youtu.be/GO5utuvcZps,Every Breath You Take,Police
https://youtu.be/gKnR_z_KT-k,Sunglasses At Night,Corey Hart
https://youtu.be/l64EyXcxvmo,Twist Of Fate,Olivia Newton-John
https://youtu.be/sf_8FWzmdPQ,Elegia,New Order
https://youtu.be/rT0vYlaI3Ys,Whip it,Devo
https://youtu.be/jMdasbntQag,Should I Stay Or Should I Go,The Clash
https://youtu.be/Ge3lXjKiWXQ,Rock You Like A Hurrican,Scorpions
https://youtu.be/ZgZCtHtmYw0,Africa,Toto
https://youtu.be/F54G8UHrYpg,Bust A Move,Young MC
https://youtu.be/wBNewLDy3pQ,September,Earth Wind and Fire
https://youtu.be/7wBgcalM4c4,Time After Time,Cyndi Lauper
https://youtu.be/EP_kVaENf6Q,Girls On Film,Duran Duran
https://youtu.be/b9C6uTmsMRw,Play With Me,Xtreme
https://youtu.be/hH8Dr4-yPxo,Detroit Rock City,Kiss
https://youtu.be/5YdGRqn111k,I Was A Teenage Werewolf,The Cramps
https://youtu.be/jnWuM9yKyTQ,You Spin Me Round Like A Record,Dead or Alive
https://youtu.be/8oAe2V8fTBI,Rock Me Amadeus,Falco
https://youtu.be/aPdyydTDK2M,Wipe Out,The Daytonas
https://youtu.be/3OBppdN4q3w,Tarzan Boy,Baltimora
https://youtu.be/mjoE6vG-aK0,Psycho Killer,Talking Heads
https://youtu.be/ahecMIoaA1k,Legless,Hipbone Slim
https://youtu.be/A5ZopcrHvQI,Pass The Dutchie,Musical Youth
https://youtu.be/S6dB2BW2a8A,Hereos,Peter Gabriel
https://youtu.be/fnovhq6QJHY,Your Love Keeps On Lifting Me Higher,Jackie Wilson
https://youtu.be/hw__4VV-3_Q,R.O.C.K In the U.S.A,John Mellencamp
https://youtu.be/JTkUVRKOvSY,Neutron Dance,The Pointer Sisters
https://youtu.be/hu40NQkesk8,We Built This City,Starship
https://youtu.be/ZeXPUJfCqHw,American Pie,Don Mclean
https://youtu.be/sddcI9A4GKI,All Your Reasons Why,Smart Remarks
https://youtu.be/EBJUH1KoAtc,Angel,Madonna
https://youtu.be/5IqEvlZ8Yvc,Cold As Ice,Foreigner
https://youtu.be/BSTTYj9lLr0,Material Girl,Madonna
https://youtu.be/RZaomWhbNUE,Get Up and Go,The Go-Gos
https://youtu.be/QAAmZojW-nM,Heart (I Just Died In Your Arms),Cutting Crew
https://youtu.be/i2cnxV4BOsc,Can't Fight This Feeling,REO Speedwagon
https://youtu.be/ENmJ0NqdomE,Hot Blooded,Foreigner
https://youtu.be/WHQf5Y7-s90,Working For A Living,Huey Lewis and The News
https://youtu.be/Iy6fjIZCZzI,Moving In Stereo,The Cars
https://youtu.be/UPd5t6zVFOU,Rock This Town,Stray Cats
https://youtu.be/iVe43w0HaZ0,Baba O Reilly,The Who
https://youtu.be/UEM9l594q-o,Home Sweet Home,Motley Crue
https://youtu.be/5CeLtRiLhoc,Love Is A Battlefield,Pat Benatar
https://youtu.be/-pIsAWOUQUw,I Do Believe I Fell In Love,Donna Summer
https://youtu.be/WskLGtP9KGk,Runaway,Bon Jovi
https://youtu.be/vUykXj5jLgw,Dead End Justice,The Runaways
https://youtu.be/Vi5T8TuM7Vs,Round and Round,RATT
https://youtu.be/oPJPciuK8js,Hammer To Fall,Queen
https://youtu.be/SKd_YtpCJrU,The Sun Goes Down,The Jetsons
https://youtu.be/ZzbI6FrSUUQ,Strength In Numbers,Channel 3
https://youtu.be/GfIVN2Sye7w,Metal Sport,Hitman
https://youtu.be/S0Qza3QJlLU,You Don't Mess Around with Jim,Jim Croce
https://youtu.be/0bmQkbNcFcM,Go!,Tones on Trail
https://youtu.be/D5J9_4lB1eU,Monster Mash,Bobby Boris Pickett
https://youtu.be/49D2q09u_DY,Shout At The Devil,Motley Crue
https://youtu.be/QEcXiCs8f08,Blackout,Swing Set
https://youtu.be/_aftOFf6_lk,Talking In Your Sleep,The Romantics
https://youtu.be/xPpjyJlNbBg,Just Another Day,Oingo Boingo
https://youtu.be/cBFe0macwVM,Every Other Girl,Prehistoric Wolves
https://youtu.be/b4-HJvV-9Ak,When Its Cold I Like To Die,Moby
https://youtu.be/0_7TQgAANUI,The Bargain Store,Dolly Parton
https://youtu.be/FgtgwkQ2lEU,Nocturnal Me,Echo and the Bunneymen
https://youtu.be/4oqAzoLV9LE,Color Dreams,The Deep
https://youtu.be/yC-Qkouw5Ro,Atmospheres,Joy Division
https://youtu.be/cRnh_LCbiRk,Tie A Little Ribbon,Brotherhood of Men
https://youtu.be/zDbj82AlfeQ,Raise A Little Hell,Trooper
https://youtu.be/n2nUmE_aBAc,I Melt With You,Modern English
https://youtu.be/qdcqR0Fo_Qw,Hazy Shade Of Winter,The Bangles
https://youtu.be/K9dChMh1TJg,Body Language,Alexander Baker & Clair Marlo
https://youtu.be/v_0iDtegfDA,White Rabbit,Jefferson Airplane
https://youtu.be/P98YkXntutI,She Has Funny Cars,Jefferson Airplane
https://youtu.be/Aiw-G8lGmnc,Jenny May,Trader Horne
https://youtu.be/QfuItY9KSpI,I Shall Not Care,Pearls Before Swine
https://youtu.be/ClPsKPNBFgw,Every Little Bit,Jackie James & Ian Curnow
https://youtu.be/VKZogTyCFLw,I Can't Seem To Make You Mine,The Seeds
https://youtu.be/-RcPZdihrp4,Stranger Things Theme,Stranger Things Theme
